EXTRACTION PAIE — Établissement principal et agences
Éditée le 07/08/2026 par le service des ressources humaines

Matricule;Établissement;Nom;Prénom;Sexe;Date de naissance;Nationalité;Titre de séjour;Date d'entrée;Date de sortie;Type de contrat;Statut;Service;Emploi;Temps de travail;Salaire mensuel brut;Coefficient;Observations
M01299;Agence Est;BRUNEAU;Lancelot;H;12/10/1991;Allemande;;04/04/2019;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2536,42;B;
M01300;Agence Ouest;BUISSON;Léandre;H;15/03/1965;Belge;;15/11/1994;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;3253,92;C;
M01301;Centre de services;CADIOU;Lubin;H;18/08/1982;Sénégalaise;Carte de séjour pluriannuelle;26/06/2012;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;5485,12;K;
M01302;Siège;CAILLAUD;Marius;H;21/01/1999;Ivoirienne;Carte de résident;09/01/2024;;CDI;Cadre;Réseau;Directeur(rice) d’agence;Temps plein;4895,16;H;
M01303;Agence Nord;CALMELS;Maxence;H;24/06/1973;Comorienne;Carte de séjour pluriannuelle;20/08/2005;;CDI;Agent de maîtrise;Back-office;Animateur(rice) commercial(e);Temps plein;4211,78;G;
M01304;Agence Sud;CAMPION;Merlin;H;27/11/1990;Malienne;Carte de séjour pluriannuelle;03/03/2012;;CDI;Technicien;Crédit;Contrôleur(se) de premier niveau;Temps plein;3738,64;E;
M01305;Agence Est;CANTIN;Bérénice;F;02/04/1964;Turque;Carte de résident;14/10/1987;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3500,70;D;
M01306;Agence Ouest;CAPRON;Blandine;F;05/09/1981;Polonaise;;25/05/2005;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;3075,07;A;
M01307;Centre de services;CARDON;Capucine;F;08/02/1998;Française;;08/12/2023;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;2649,45;B;
M01308;Siège;CARRERE;Cassandre;F;11/07/1972;Française;;19/07/1998;;CDI;Employé;Juridique;Assistant(e) commercial(e);Temps plein;3338,54;C;
M01309;Agence Nord;CASSAGNE;Charlène;F;14/12/1989;Française;;02/02/2016;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;4919,96;K;
M01310;Agence Sud;CASTELLI;Clémence;F;17/05/1963;Française;;13/09/1991;;CDI;Agent de maîtrise;Réseau;Superviseur(e) back-office;Temps plein;4362,69;F;
M01311;Agence Est;CAUCHY;Constance;F;20/10/1980;Française;;24/04/2009;;CDI;Technicien;Back-office;Technicien(ne) des métiers de la banque;Temps plein;3512,38;F;
M01312;Agence Ouest;CAVAILLE;Cyrielle;F;23/03/1997;Française;;07/11/2024;;CDI;Ouvrier;Crédit;Agent de sécurité;Temps plein;2094,39;A;
M01313;Centre de services;CHABERT;Sylvain;H;26/08/1971;Française;;18/06/2002;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3110,44;D;
M01314;Siège;CHAILLOT;Tanguy;H;01/01/1988;Française;;01/01/2020;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2664,36;A;
M01315;Agence Nord;CHAMBON;Timothée;H;04/06/1962;Française;;12/08/1987;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3598,34;B;
M01316;Agence Sud;CHAPELLE;Tristan;H;07/11/1979;Française;;23/03/2002;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;6165,92;J;
M01317;Agence Est;CHARBONNIER;Ulysse;H;10/04/1996;Française;;06/10/2020;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;5260,48;K;
M01318;Agence Ouest;CHARLOT;Valentin;H;13/09/1970;Française;;17/05/1995;;CDI;Agent de maîtrise;Réseau;Animateur(rice) commercial(e);Temps plein;4738,58;F;
M01319;Centre de services;CHASSAING;Wandrille;H;16/02/1987;Française;;28/12/2013;;CDI;Technicien;Back-office;Contrôleur(se) de premier niveau;Temps plein;3858,88;F;
M01320;Siège;CHATELAIN;Faustine;F;19/07/1961;Française;;11/07/1988;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;3629,77;C;
M01321;Agence Nord;CHAUMET;Flavie;F;22/12/1978;Française;;22/02/2006;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2744,15;D;
M01322;Agence Sud;CHAVANNE;Gaëlle;F;25/05/1995;Française;;05/09/2024;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2318,53;A;
M01323;Agence Est;CHERRIER;Garance;F;28/10/1969;Française;;16/04/1999;;CDD accroissement;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3007,61;B;
M01324;Agence Ouest;CHEVROT;Hortense;F;03/03/1986;Française;;27/11/2017;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;5024,58;J;
M01325;Centre de services;CHOLLET;Iris;F;06/08/2003;Française;;10/06/2024;;CDI;Cadre;Contrôle interne;Analyste financier(ère);Temps plein;4712,98;K;
M01326;Siège;CLAVEL;Jade;F;09/01/1977;Française;;21/01/1999;;CDI;Agent de maîtrise;Réseau;Responsable d’unité;Temps plein;4273,74;F;
M01327;Agence Nord;CLERC;Joséphine;F;12/06/1994;Portugaise;;04/08/2017;;CDI;Technicien;Back-office;Chargé(e) d’études;Temps plein;3441,98;F;
M01328;Agence Sud;COLLOMB;Anatole;H;15/11/1968;Espagnole;;15/03/1992;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;50 %;3536,04;C;
M01329;Agence Est;COMBAZ;Anthelme;H;18/04/1985;Italienne;;26/10/2010;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3089,96;D;
M01330;Agence Ouest;CONSTANT;Armand;H;21/09/2002;Marocaine;Carte de séjour pluriannuelle;09/05/2024;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2752,12;A;
M01331;Centre de services;CORBIN;Aubin;H;24/02/1976;Algérienne;Carte de séjour pluriannuelle;20/12/2003;;CDI;Employé;Systèmes d’information;Chargé(e) de recouvrement amiable;Temps plein;3361,38;B;
M01332;Siège;CORNU;Augustin;H;27/07/1993;Tunisienne;Carte de résident;03/07/2021;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;4902,90;J;
M01333;Agence Nord;COSTES;Basile;H;02/12/1967;Roumaine;;14/02/1996;;CDI;Agent de maîtrise;Contrôle interne;Animateur(rice) commercial(e);Temps plein;4396,40;G;
M01334;Agence Sud;COUDERC;Maëva;F;05/05/1984;Allemande;;25/09/2014;;CDI;Technicien;Réseau;Contrôleur(se) de premier niveau;Temps plein;3368,88;E;
M01335;Agence Est;COULON;Maïwenn;F;08/10/2001;Belge;;08/04/2024;;CDI;Ouvrier;Back-office;Agent de maintenance;Temps plein;2117,39;B;
M01336;Agence Ouest;COURBET;Marlène;F;11/03/1975;Sénégalaise;Carte de séjour pluriannuelle;19/11/2007;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2873,23;C;
M01337;Centre de services;CREPIN;Mélissa;F;14/08/1992;Ivoirienne;Carte de séjour pluriannuelle;02/06/2014;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2732,76;D;
M01338;Siège;CRETIN;Morgane;F;17/01/1966;Comorienne;Carte de résident;13/01/1989;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;3421,85;A;
M01339;Agence Nord;CROIZET;Nolwenn;F;20/06/1983;Malienne;Carte de séjour pluriannuelle;24/08/2007;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;5683,30;I;
M01340;Agence Sud;DABRIGEON;Ondine;F;23/11/2000;Turque;Carte de séjour pluriannuelle;07/03/2024;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;4867,98;J;
M01341;Agence Est;DAGUET;Perrine;F;26/04/1974;Polonaise;;18/10/2000;;CDI;Agent de maîtrise;Contrôle interne;Responsable d’unité;Temps plein;4393,12;G;
M01342;Agence Ouest;DALIBARD;Éliott;H;01/09/1991;Française;;01/05/2018;;CDI;Technicien;Réseau;Chargé(e) d’études;Temps plein;3708,08;E;
M01343;Centre de services;DAMIEN;Elouan;H;04/02/1965;Française;;12/12/1993;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3203,98;B;
M01344;Siège;DANTAN;Enzo;H;07/07/1982;Française;;23/07/2011;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2757,90;C;
M01345;Agence Nord;DARBOIS;Erwan;H;10/12/1999;Française;;06/02/2024;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2447,12;D;
M01346;Agence Sud;DAUPHIN;Eudes;H;13/05/1973;Française;;17/09/2004;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;3029,32;A;
M01347;Agence Est;DEBAT;Fabrice;H;16/10/1990;Française;;28/04/2022;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;5005,32;I;
M01348;Agence Ouest;DECHAMPS;Tiphaine;F;19/03/1964;Française;;11/11/1987;;CDI;Cadre;Juridique;Juriste bancaire;Temps plein;6599,73;J;
M01349;Centre de services;DEFFONTAINES;Ursule;F;22/08/1981;Française;;22/06/2004;;CDI;Agent de maîtrise;Contrôle interne;Superviseur(e) back-office;Temps plein;4118,65;G;
M01350;Siège;DEGUILHEM;Violaine;F;25/01/1998;Française;;05/01/2022;;CDI;Technicien;Réseau;Technicien(ne) des métiers de la banque;Temps plein;3298,48;E;
M01351;Agence Nord;DELAHAYE;Yseult;F;28/06/1972;Française;;16/08/1997;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3287,46;B;
M01352;Agence Sud;DELARUE;Adeline;F;03/11/1989;Française;;27/03/2015;;CDD accroissement;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2861,84;C;
M01353;Agence Est;DELAVIGNE;Agathe;F;06/04/1963;Française;;10/10/1990;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3550,93;D;
M01354;Agence Ouest;DELEPINE;Alexia;F;09/09/1980;Française;;21/05/2008;;CDI;Employé;Ressources humaines;Gestionnaire des moyens de paiement;Temps plein;2665,30;A;
M01355;Centre de services;DELORT;Alix;F;12/02/1997;Française;;04/12/2024;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;4562,98;I;
M01356;Siège;DEMANGE;Hilaire;H;15/07/1971;Française;;15/07/2001;;CDI;Agent de maîtrise;Juridique;Responsable d’unité;Temps plein;4233,50;F;
M01357;Agence Nord;DENIAU;Hippolyte;H;18/12/1988;Française;;26/02/2019;;CDI;Technicien;Contrôle interne;Chargé(e) d’études;Temps plein;3368,32;F;
M01358;Agence Sud;DEPREZ;Ismaël;H;21/05/1962;Française;;09/09/1994;;CDI;Ouvrier;Réseau;Agent logistique;Temps plein;2953,36;A;
M01359;Agence Est;DERAIN;Jocelyn;H;24/10/1979;Française;;20/04/2001;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3183,50;B;
M01360;Agence Ouest;DESBOIS;Joachim;H;27/03/1996;Française;;03/11/2019;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2737,42;C;
M01361;Centre de services;DESCAMPS;Joris;H;02/08/1970;Française;;14/06/1994;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;3454,92;D;
M01362;Siège;DESFORGES;Axelle;F;05/01/1987;Portugaise;;25/01/2012;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;5454,44;H;
M01363;Agence Nord;DESJARDINS;Bérénice;F;08/06/1961;Espagnole;;08/08/1987;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;6754,73;I;
M01364;Agence Sud;DEVILLE;Blandine;F;11/11/1978;Italienne;;19/03/2005;;CDI;Agent de maîtrise;Juridique;Superviseur(e) back-office;Temps plein;4238,03;F;
M01365;Agence Est;DEZ;Capucine;F;14/04/1995;Marocaine;Carte de résident;02/10/2023;;CDI;Technicien;Contrôle interne;Technicien(ne) des métiers de la banque;Temps plein;2960,18;F;
M01366;Agence Ouest;DIDELOT;Cassandre;F;17/09/1969;Algérienne;Carte de séjour pluriannuelle;13/05/1998;;CDI;Employé;Réseau;Chargé(e) d’accueil;70 %;2956,54;A;
M01367;Centre de services;DOMINE;Charlène;F;20/02/1986;Tunisienne;Carte de séjour pluriannuelle;24/12/2016;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2530,91;B;
M01368;Siège;DONNADIEU;Clémence;F;23/07/2003;Roumaine;;07/07/2024;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2364,53;C;
M01369;Agence Nord;DORMOY;Constance;F;26/12/1977;Allemande;;18/02/2009;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2794,38;D;
M01370;Agence Sud;DOUCET;Cyrielle;F;01/05/1994;Belge;;01/09/2016;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;5120,96;H;
M01371;Agence Est;DRUAIS;Océan;H;04/10/1968;Sénégalaise;Carte de résident;12/04/1991;;CDI;Cadre;Systèmes d’information;Contrôleur(se) des risques;Temps plein;6699,30;I;
M01372;Agence Ouest;DUBREUIL;Octave;H;07/03/1985;Ivoirienne;Carte de séjour pluriannuelle;23/11/2009;;CDI;Agent de maîtrise;Juridique;Animateur(rice) commercial(e);Temps plein;4132,06;F;
M01373;Centre de services;DUCLOS;Paulin;H;10/08/2002;Comorienne;Carte de séjour pluriannuelle;06/06/2024;;CDI;Technicien;Contrôle interne;Contrôleur(se) de premier niveau;Temps plein;3390,52;F;
M01374;Siège;DUCROS;Prosper;H;13/01/1976;Malienne;Carte de résident;17/01/2002;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;3311,44;A;
M01375;Agence Nord;DUFFAU;Quirin;H;16/06/1993;Turque;Carte de séjour pluriannuelle;28/08/2020;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2865,36;B;
M01376;Agence Sud;DUGAST;Rémi;H;19/11/1967;Polonaise;;11/03/1995;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;3582,86;C;
M01377;Agence Est;DUMOULIN;Fanny;F;22/04/1984;Française;;22/10/2013;;CDI;Employé;Conformité;Gestionnaire back-office;Temps plein;2558,69;D;
M01378;Agence Ouest;DUPRAT;Faustine;F;25/09/2001;Française;;05/05/2024;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;4585,98;H;
M01379;Centre de services;DURIEZ;Flavie;F;28/02/1975;Française;;16/12/2006;;CDI;Agent de maîtrise;Systèmes d’information;Superviseur(e) back-office;Temps plein;3897,41;G;
M01380;Siège;DUTERTRE;Gaëlle;F;03/07/1992;Française;;27/07/2024;;CDI;Technicien;Juridique;Technicien(ne) des métiers de la banque;Temps plein;3081,88;E;
M01381;Agence Nord;DUVERGER;Garance;F;06/12/1966;Française;;10/02/1988;;CDD accroissement;Technicien;Contrôle interne;Chargé(e) d’études;Temps plein;4321,68;F;
M01382;Agence Sud;ESCOFFIER;Hortense;F;09/05/1983;Française;;21/09/2006;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2945,15;A;
M01383;Agence Est;ESTIENNE;Iris;F;12/10/2000;Française;;04/04/2024;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;2519,53;B;
M01384;Agence Ouest;EYMARD;Jade;F;15/03/1974;Française;;15/11/1999;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;3208,61;C;
M01385;Centre de services;FABREGUE;Xavier;H;18/08/1991;Française;;26/06/2017;;CDI;Employé;Conformité;Gestionnaire back-office;60 %;2896,54;D;
M01386;Siège;FALGUIERE;Zacharie;H;21/01/1965;Française;;09/01/1992;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;6801,72;H;
M01387;Agence Nord;FAUCHER;Achille;H;24/06/1982;Française;;20/08/2010;;CDI;Agent de maîtrise;Systèmes d’information;Animateur(rice) commercial(e);Temps plein;4249,88;G;
M01388;Agence Sud;FAURY;Adrien;H;27/11/1999;Française;;03/03/2024;;CDI;Technicien;Juridique;Contrôleur(se) de premier niveau;Temps plein;3085,52;E;
M01389;Agence Est;FAVIER;Aimé;H;02/04/1973;Française;;14/10/2003;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;2979,38;D;
M01390;Agence Ouest;FERRIER;Alban;H;05/09/1990;Française;;25/05/2021;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2533,30;A;
M01391;Centre de services;FEUILLET;Louna;F;08/02/1964;Française;;08/12/1996;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3113,38;B;
M01392;Siège;FICHET;Maëva;F;11/07/1981;Française;;19/07/2003;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2972,92;C;
M01393;Agence Nord;FILIPPI;Maïwenn;F;14/12/1998;Française;;02/02/2021;;CDI;Cadre;Conformité;Responsable conformité;Temps plein;4892,10;K;
M01394;Agence Sud;FLAMENT;Marlène;F;17/05/1972;Française;;13/09/1996;;CDI;Cadre;Ressources humaines;Auditeur(rice) interne;Temps plein;6192,39;H;
M01395;Agence Est;FLORENTIN;Mélissa;F;20/10/1989;Française;;24/04/2014;;CDI;Agent de maîtrise;Systèmes d’information;Responsable d’unité;Temps plein;3808,46;G;
M01396;Agence Ouest;FOLLIOT;Morgane;F;23/03/1963;Française;;07/11/1989;;CDI;Technicien;Juridique;Chargé(e) d’études;Temps plein;4443,38;E;
M01397;Centre de services;FORESTIER;Nolwenn;F;26/08/1980;Portugaise;;18/06/2007;;CDI;Employé;Contrôle interne;Opérateur(rice) de saisie;Temps plein;3074,23;D;
M01398;Siège;FOUQUET;Ondine;F;01/01/1997;Espagnole;;01/01/2024;;CDI;Employé;Réseau;Chargé(e) d’accueil;Temps plein;2674,53;A;
M01399;Agence Nord;FOURCADE;Benoît;H;04/06/1971;Italienne;;12/08/2000;;CDI;Employé;Back-office;Conseiller(ère) clientèle particuliers;Temps plein;3010,56;B;
M01400;Agence Sud;FRAISSE;Bruno;H;07/11/1988;Marocaine;Carte de séjour pluriannuelle;23/03/2018;;CDI;Employé;Crédit;Conseiller(ère) clientèle professionnels;Temps plein;2564,48;C;
